# MULTIEXP - multiple experiments example
# Experiment#1 (čas=2000) 
1  226.263 450.382 675.794 901.524 905.987
# Experiment#2 (čas=2000) 
2  201.479 406.452 602.795 796.487 800.328
# Experiment#3 (čas=2000) 
3  185.117 371.493 553.798 731.418 735.06
# Experiment#4 (čas=2000) 
4  147.009 268.39 402.968 544.942 547.872
# Experiment#5 (čas=2000) 
5  126.563 226.936 344.854 468.965 471.578
# Experiment#6 (čas=2000) 
6  64.6504 155.489 263.917 374.431 374.431
# Experiment#7 (čas=2000) 
7  65.4579 102.869 159.772 232.629 232.629
# Experiment#8 (čas=2000) 
8  91.4874 153.453 179.423 214.902 215.605
# Experiment#9 (čas=2000) 
9  53.0254 77.5713 108.704 131.053 131.129
# Experiment#10 (čas=2000) 
10  24.3384 32.359 37.7193 48.3756 48.3756
# Experiment#11 (čas=2000) 
11  23.4496 34.0226 29.2237 29.2083 29.2083
# Experiment#12 (čas=2000) 
12  29.376 23.8894 23.213 24.4101 24.4101
# Experiment#13 (čas=2000) 
13  32.8203 25.9325 24.3514 22.4869 22.4869
# Experiment#14 (čas=2000) 
14  14.2093 15.2643 15.3998 16.9301 16.9301
# Experiment#15 (čas=2000) 
15  19.747 20.4228 19.6977 19.5131 19.5131
# Experiment#16 (čas=2000) 
16  16.1036 19.1497 17.799 19.778 19.778
# Experiment#17 (čas=2000) 
17  18.2306 16.2456 16.9607 16.9546 16.9546
# Experiment#18 (čas=2000) 
18  11.6774 12.579 16.4053 17.5972 17.5972
# Experiment#19 (čas=2000) 
19  14.4101 13.8173 13.1059 12.8698 12.8698
# Experiment#20 (čas=2000) 
20  13.4167 20.5231 18.8326 17.2813 17.2813
